IH1606 46804.800000 46910.090131 46910.090129
IH1512 46804.800000 46910.090156 46910.090154
IH1511 46804.800000 46910.090180 46910.090180
T1603 46804.800000 46910.090207 46910.090205
T1512 46804.800000 46910.090232 46910.090231
T1606 46804.800000 46910.090258 46910.090261
TF1603 46804.800000 46910.090287 46910.090285
TF1512 46804.800000 46910.090312 46910.090311
TF1606 46804.800000 46910.090339 46910.090340
IC1606 46805.300000 46910.631297 46910.631292
IC1512 46805.300000 46910.631315 46910.631313
IC1511 46805.300000 46910.631329 46910.631332
IF1511 46805.300000 46910.631368 46910.631366
IH1606 46805.300000 46910.631383 46910.631383
IH1512 46805.300000 46910.631422 46910.631422
IH1511 46805.300000 46910.631437 46910.631435
T1603 46805.300000 46910.631472 46910.631470
T1512 46805.300000 46910.631507 46910.631507
T1606 46805.300000 46910.631534 46910.631531
TF1603 46805.300000 46910.631557 46910.631556
TF1512 46805.300000 46910.631583 46910.631584
TF1606 46805.300000 46910.631611 46910.631609
IC1606 46805.800000 46911.142968 46911.142969
IC1512 46805.800000 46911.142970 46911.142975
IC1511 46805.800000 46911.142998 46911.142995
IF1512 46805.800000 46911.143021 46911.143020
IF1511 46805.800000 46911.143049 46911.143048
IH1603 46805.800000 46911.143073 46911.143072
IH1606 46805.800000 46911.143098 46911.143097
IH1512 46805.800000 46911.143126 46911.143127
IH1511 46805.800000 46911.143153 46911.143152
T1603 46805.800000 46911.143177 46911.143176
T1512 46805.800000 46911.143206 46911.143206
T1606 46805.800000 46911.143232 46911.143229
TF1512 46805.800000 46911.143256 46911.143257
TF1606 46805.800000 46911.143293 46911.143291
IC1606 46806.300000 46911.560791 46911.560793
IC1512 46806.300000 46911.560798 46911.560801
IC1511 46806.300000 46911.560828 46911.560823
IF1512 46806.300000 46911.560849 46911.560847
IF1511 46806.300000 46911.560875 46911.560876
IH1606 46806.300000 46911.560904 46911.560900
IH1512 46806.300000 46911.560927 46911.560925
IH1511 46806.300000 46911.560953 46911.560954
T1603 46806.300000 46911.560981 46911.560980
T1512 46806.300000 46911.561008 46911.561006
T1606 46806.300000 46911.561032 46911.561034
TF1512 46806.300000 46911.561067 46911.561065
TF1606 46806.300000 46911.561092 46911.561090
IC1606 46806.800000 46912.091280 46912.091288
IC1512 46806.800000 46912.091290 46912.091297
IC1511 46806.800000 46912.091302 46912.091301
IF1511 46806.800000 46912.091338 46912.091340
IH1603 46806.800000 46912.091355 46912.091355
IH1606 46806.800000 46912.091392 46912.091390
IH1512 46806.800000 46912.091439 46912.091440
IH1511 46806.800000 46912.091473 46912.091471
T1603 46806.800000 46912.091499 46912.091497
T1512 46806.800000 46912.091522 46912.091524
T1606 46806.800000 46912.091551 46912.091548
TF1603 46806.800000 46912.091574 46912.091574
TF1512 46806.800000 46912.091601 46912.091603
TF1606 46806.800000 46912.091629 46912.091627
IC1603 46807.300000 46912.610796 46912.610797
IC1606 46807.300000 46912.610805 46912.610807
IC1512 46807.300000 46912.610829 46912.610826
IC1511 46807.300000 46912.610852 46912.610851
IF1512 46807.300000 46912.610881 46912.610880
IF1511 46807.300000 46912.610905 46912.610904
IH1603 46807.300000 46912.610931 46912.610931
IH1606 46807.300000 46912.610960 46912.610959
IH1512 46807.300000 46912.610986 46912.610985
IH1511 46807.300000 46912.611017 46912.611018
T1603 46807.300000 46912.611045 46912.611042
T1512 46807.300000 46912.611069 46912.611067
T1606 46807.300000 46912.611094 46912.611096
TF1603 46807.300000 46912.611122 46912.611121
